Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,same_as_wikidata_distrito,Codi_Barri,Nom_Barri,same_as_wikidata_barrio,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
435230,CIM,Càmera mòbil,99,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430775038,4583232962,2.1718949,41.3976554,"2011-03-04T00:00:00Z"
435232,CIM,Càmera mòbil,77,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,20,La Maternitat i Sant Ramon,https://www.wikidata.org/entity/Q3297056,425777020,4581809451,2.112287,41.3843892,"2011-03-04T00:00:00Z"
435233,CIF,Càmera fixa,132,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,20,La Maternitat i Sant Ramon,https://www.wikidata.org/entity/Q3297056,425777020,4581809451,2.112287,41.3843892,"2011-03-04T00:00:00Z"
435235,DOMO,Càmera mòbil,53,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,10,Sant Antoni,https://www.wikidata.org/entity/Q720994,429657700,4581521589,2.1587288,41.3821451,"2011-03-04T00:00:00Z"
435237,DOMO,Càmera mòbil,55,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430177511,4581940611,2.1648967,41.3859645,"2011-03-04T00:00:00Z"
435378,CIM,Càmera mòbil,34,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430681316,4582547768,2.1708523,41.3914763,"2011-03-11T00:00:00Z"
435382,CIF,Càmera fixa,18,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,65,El Clot,https://www.wikidata.org/entity/Q2979686,432045113,4584627186,2.1869301,41.4103218,"2011-03-11T00:00:00Z"
435593,CIF,Càmera fixa,120,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,61,La Sagrera,https://www.wikidata.org/entity/Q3773462,432068996,4585704220,2.1870949,41.4200237,"2011-03-22T00:00:00Z"
464853,DOMO,Càmera mòbil,64,Mastil,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,26,Sant Gervasi-Galvany,https://www.wikidata.org/entity/Q3389521,427615072,4583441216,2.1340728,41.3992534,"2011-11-18T00:00:00Z"
465468,CIF,Càmera fixa,109,Mastil,3,Sants-Montjuïc,https://www.wikidata.org/entity/Q753075,16,La Bordeta,https://www.wikidata.org/entity/Q3753110,427731172,4579631544,2.1359159,41.364951,"2011-11-25T00:00:00Z"
470579,CIM,Càmera mòbil,61,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,65,El Clot,https://www.wikidata.org/entity/Q2979686,432040540,4584079061,2.186937,41.405384,"2012-02-17T00:00:00Z"
470630,DOMO,Càmera mòbil,63,Baculo,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,24,Les Tres Torres,https://www.wikidata.org/entity/Q3297896,427097770,4583276031,2.1279051,41.3977189,"2012-02-20T00:00:00Z"
478561,CIF,Càmera fixa,123,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,2,Gothic Quarter,https://www.wikidata.org/entity/Q17154,431616673,4581437444,2.1821647,41.381556,"2012-07-16T00:00:00Z"
478562,CIM,Càmera mòbil,19,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,2,Gothic Quarter,https://www.wikidata.org/entity/Q17154,431616673,4581437444,2.1821647,41.381556,"2012-07-16T00:00:00Z"
478564,DOMO,Càmera mòbil,62,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,20,La Maternitat i Sant Ramon,https://www.wikidata.org/entity/Q3297056,427102853,4581565358,2.1281717,41.3823123,"2012-07-16T00:00:00Z"
478566,CIF,Càmera fixa,213,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434149871,4584788156,2.2120934,41.4119468,"2012-07-16T00:00:00Z"
478568,CIF,Càmera fixa,214,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434149605,4584754655,2.2120939,41.4116452,"2012-07-16T00:00:00Z"
478573,CIF,Càmera fixa,216,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433191098,4583437529,2.2007717,41.399703,"2012-07-16T00:00:00Z"
478575,CIF,Càmera fixa,217,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433163782,4583439341,2.2004448,41.3997172,"2012-07-16T00:00:00Z"
478577,CIF,Càmera fixa,221,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433763013,4584001557,2.2075511,41.40483,"2012-07-16T00:00:00Z"
478579,CIF,Càmera fixa,220,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,68,El Poblenou,https://www.wikidata.org/entity/Q1404773,433729248,4583998706,2.2071475,41.4048011,"2012-07-16T00:00:00Z"
478581,CIF,Càmera fixa,222,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,433572571,4584198365,2.2052513,41.4065871,"2012-07-16T00:00:00Z"
478583,CIF,Càmera fixa,223,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434014439,4584312047,2.210525,41.4076476,"2012-07-16T00:00:00Z"
478585,CIF,Càmera fixa,224,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434015130,4584277021,2.2105371,41.4073321,"2012-07-16T00:00:00Z"
478597,CIF,Càmera fixa,226,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,66,El Parc i la Llacuna del Poblenou,https://www.wikidata.org/entity/Q3294440,432442068,4583667110,2.1917864,41.4017079,"2012-07-16T00:00:00Z"
478599,CIF,Càmera fixa,225,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,66,El Parc i la Llacuna del Poblenou,https://www.wikidata.org/entity/Q3294440,432440243,4583635687,2.191768,41.4014247,"2012-07-16T00:00:00Z"
478601,CIF,Càmera fixa,229,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,71,Provençals del Poblenou,https://www.wikidata.org/entity/Q6273541,433292319,4584510815,2.2018642,41.4093781,"2012-07-16T00:00:00Z"
478603,CIF,Càmera fixa,228,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,71,Provençals del Poblenou,https://www.wikidata.org/entity/Q6273541,433289200,4584490514,2.2018291,41.4091951,"2012-07-16T00:00:00Z"
478605,CIF,Càmera fixa,227,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,66,El Parc i la Llacuna del Poblenou,https://www.wikidata.org/entity/Q3294440,432329173,4583014900,2.1905088,41.3958241,"2012-07-16T00:00:00Z"
500987,CIM,Càmera mòbil,74,Mastil,6,Gràcia,https://www.wikidata.org/entity/Q852697,30,La Salut,https://www.wikidata.org/entity/Q3320699,429361262,4584555869,2.1548299,41.4094473,"2017-07-03T00:00:00Z"
507077,CIM,Càmera mòbil,52,Mastil,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,27,El Putxet i el Farró,https://www.wikidata.org/entity/Q3321805,428543353,4584136414,2.1450944,41.4055976,"2019-04-05T00:00:00Z"
508361,CIM,Càmera mòbil,3,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,3,La Barceloneta,https://www.wikidata.org/entity/Q377070,432739226,4582002825,2.1955258,41.3867431,"2018-09-27T00:00:00Z"
508363,CIM,Càmera mòbil,5,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,71,Provençals del Poblenou,https://www.wikidata.org/entity/Q6273541,432984787,4584788315,2.1981543,41.4118516,"2019-01-03T00:00:00Z"
508365,CIM,Càmera mòbil,6,Mastil,8,Nou Barris,https://www.wikidata.org/entity/Q1641049,53,La Trinitat Nova,https://www.wikidata.org/entity/Q3750932,432231353,4588930854,2.1886758,41.449099,"2018-12-05T00:00:00Z"
508366,CIM,Càmera mòbil,14,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,61,La Sagrera,https://www.wikidata.org/entity/Q3773462,432068996,4585704220,2.1870949,41.4200237,"2018-12-05T00:00:00Z"
508367,CIM,Càmera mòbil,16,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,60,Sant Andreu de Palomar,https://www.wikidata.org/entity/Q990510,432032602,4588242896,2.186374,41.4428856,"2018-12-01T00:00:00Z"
508368,CIM,Càmera mòbil,17,Mastil,7,Horta-Guinardó,https://www.wikidata.org/entity/Q1771488,43,Horta,https://www.wikidata.org/entity/Q15225338,429218425,4587197584,2.1528119,41.4332284,"2018-10-25T00:00:00Z"
508369,CIM,Càmera mòbil,26,Mastil,7,Horta-Guinardó,https://www.wikidata.org/entity/Q1771488,33,El Baix Guinardó,https://www.wikidata.org/entity/Q3297875,430480736,4584893373,2.1681839,41.4125851,"2018-11-12T00:00:00Z"
508370,CIM,Càmera mòbil,28,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,66,El Parc i la Llacuna del Poblenou,https://www.wikidata.org/entity/Q3294440,432226842,4582698436,2.1893202,41.3929651,"2018-11-12T00:00:00Z"
508371,CIM,Càmera mòbil,29,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,67,La Vila Olímpica del Poblenou,https://www.wikidata.org/entity/Q1167101,432942445,4582582320,2.1978921,41.3919796,"2018-11-27T00:00:00Z"
508372,CIM,Càmera mòbil,30,Mastil,7,Horta-Guinardó,https://www.wikidata.org/entity/Q1771488,36,La Font d'en Fargues,https://www.wikidata.org/entity/Q3297889,429699471,4586136888,2.1586924,41.4237173,"2018-11-05T00:00:00Z"
508373,CIM,Càmera mòbil,32,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,62,El Congrés i els Indians,https://www.wikidata.org/entity/Q3813818,431557444,4585730127,2.180971,41.4202135,"2018-07-31T00:00:00Z"
508374,CIM,Càmera mòbil,33,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,60,Sant Andreu de Palomar,https://www.wikidata.org/entity/Q990510,431736985,4586848900,2.182993,41.4303058,"2019-01-01T00:00:00Z"
508375,CIM,Càmera mòbil,50,Mastil,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,27,El Putxet i el Farró,https://www.wikidata.org/entity/Q3321805,428926573,4584242156,2.1496664,41.4065839,"2018-10-24T00:00:00Z"
508376,CIM,Càmera mòbil,51,Mastil,6,Gràcia,https://www.wikidata.org/entity/Q852697,31,Vila de Gràcia,https://www.wikidata.org/entity/Q2741611,428958485,4584345020,2.150036,41.4075133,"2018-10-24T00:00:00Z"
508377,CIM,Càmera mòbil,73,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,67,La Vila Olímpica del Poblenou,https://www.wikidata.org/entity/Q1167101,432583169,4582161849,2.1936418,41.3881619,"2018-11-28T00:00:00Z"
508378,CIM,Càmera mòbil,78,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,59,Bon Pastor,https://www.wikidata.org/entity/Q3319496,433183693,4587813424,2.2001997,41.4391145,"2018-10-04T00:00:00Z"
508379,CIM,Càmera mòbil,79,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,59,Bon Pastor,https://www.wikidata.org/entity/Q3319496,432907168,4588204312,2.1968466,41.4426121,"2018-10-05T00:00:00Z"
508380,CIM,Càmera mòbil,105,Mastil,7,Horta-Guinardó,https://www.wikidata.org/entity/Q1771488,35,El Guinardó,https://www.wikidata.org/entity/Q3045547,431523331,4585244290,2.1806179,41.4158348,"2018-11-09T00:00:00Z"
508381,CIM,Càmera mòbil,106,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,63,Navas,https://www.wikidata.org/entity/Q3813816,432063584,4585172770,2.1870899,41.4152366,"2018-11-07T00:00:00Z"
508382,CIM,Càmera mòbil,107,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,72,Sant Martí de Provençals,https://www.wikidata.org/entity/Q3773169,432687500,4585081523,2.194565,41.4144673,"2018-11-08T00:00:00Z"
508383,CIM,Càmera mòbil,112,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434652814,4584226579,2.2181713,41.4069298,"2018-10-10T00:00:00Z"
508384,CIM,Càmera mòbil,201,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434321006,4584561190,2.2141656,41.409916,"2018-12-05T00:00:00Z"
508385,CIM,Càmera mòbil,202,Fanal,10,Sant Martí,https://www.wikidata.org/entity/Q250935,69,Diagonal Mar i el Front Marítim del Poblenou,https://www.wikidata.org/entity/Q2736444,434772809,4584708271,2.2195549,41.4112777,"2018-10-11T00:00:00Z"
508386,CIM,Càmera mòbil,204,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,70,El Besòs i el Maresme,https://www.wikidata.org/entity/Q2390761,434817395,4585053708,2.2200512,41.4143924,"2018-10-03T00:00:00Z"
508387,CIM,Càmera mòbil,205,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,70,El Besòs i el Maresme,https://www.wikidata.org/entity/Q2390761,434905295,4584951263,2.2211138,41.4134768,"2018-11-08T00:00:00Z"
508388,CIM,Càmera mòbil,206,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,61,La Sagrera,https://www.wikidata.org/entity/Q3773462,431797230,4585992845,2.1838106,41.4226001,"2018-11-08T00:00:00Z"
508389,CIM,Càmera mòbil,207,Mastil,9,Sant Andreu,https://www.wikidata.org/entity/Q1650230,61,La Sagrera,https://www.wikidata.org/entity/Q3773462,432009289,4586348482,2.1863081,41.4258219,"2018-10-17T00:00:00Z"
508390,CIM,Càmera mòbil,208,Mastil,8,Nou Barris,https://www.wikidata.org/entity/Q1641049,48,La Guineueta,https://www.wikidata.org/entity/Q2736697,431067790,4587775007,2.1748789,41.4385895,"2018-08-02T00:00:00Z"
508391,CIM,Càmera mòbil,209,Mastil,8,Nou Barris,https://www.wikidata.org/entity/Q1641049,45,Porta,https://www.wikidata.org/entity/Q3750558,431850984,4587508721,2.1842829,41.4362584,"2018-08-02T00:00:00Z"
508392,CIM,Càmera mòbil,210,Mastil,8,Nou Barris,https://www.wikidata.org/entity/Q1641049,52,La Prosperitat,https://www.wikidata.org/entity/Q3750926,431613351,4587809532,2.1814048,41.4389472,"2018-10-02T00:00:00Z"
508393,CIM,Càmera mòbil,211,Mastil,7,Horta-Guinardó,https://www.wikidata.org/entity/Q1771488,35,El Guinardó,https://www.wikidata.org/entity/Q3045547,431272227,4586160915,2.1775093,41.4240691,"2018-11-02T00:00:00Z"
508394,CIM,Càmera mòbil,212,Mastil,8,Nou Barris,https://www.wikidata.org/entity/Q1641049,44,Vilapicina i la Torre Llobeta,https://www.wikidata.org/entity/Q3320806,431276255,4586859117,2.1774782,41.4303586,"2018-10-15T00:00:00Z"
511321,CIF,Càmera fixa,215,Baculo,10,Sant Martí,https://www.wikidata.org/entity/Q250935,70,El Besòs i el Maresme,https://www.wikidata.org/entity/Q2390761,433869116,4585042344,2.2087067,41.4142129,"2019-12-16T00:00:00Z"
511753,DOMO,Càmera mòbil,11,Baculo,5,Sarrià-Sant Gervasi,https://www.wikidata.org/entity/Q1765582,26,Sant Gervasi-Galvany,https://www.wikidata.org/entity/Q3389521,429329561,4582978460,2.1546348,41.3952377,"2000-01-01T00:00:00Z"
513841,DOMO,Càmera mòbil,96,Baculo,2,Eixample,https://www.wikidata.org/entity/Q64124,8,L'Antiga Esquerra de l'Eixample,https://www.wikidata.org/entity/Q3291762,429562910,4582401610,2.1574929,41.3900629,"2021-04-15T00:00:00Z"
516294,DOMO,Càmera mòbil,42,Baculo,2,Eixample,https://www.wikidata.org/entity/Q64124,8,L'Antiga Esquerra de l'Eixample,https://www.wikidata.org/entity/Q3291762,429567932,4582370570,2.1575565,41.3897835,"2020-12-15T00:00:00Z"
520195,CIM,Càmera mòbil,38,Baculo,3,Sants-Montjuïc,https://www.wikidata.org/entity/Q753075,13,La Marina de Port,https://www.wikidata.org/entity/Q3751076,427760029,4579490945,2.1362777,41.3636878,"2022-12-27T00:00:00Z"
