neighbourhood,linkWikidata
Rosas,https://wikidata.org/entity/Q18880469
Rosas,https://wikidata.org/entity/Q2001937
Rosas,https://wikidata.org/entity/Q56155322
ROSAS,https://wikidata.org/entity/Q18880469
ROSAS,https://wikidata.org/entity/Q2001937
ROSAS,https://wikidata.org/entity/Q56155322
Moscardó,https://wikidata.org/entity/Q11937679
Moscardó,https://wikidata.org/entity/Q953368
MOSCARDO,https://wikidata.org/entity/Q11937679
MOSCARDO,https://wikidata.org/entity/Q953368
Valdefuentes,https://wikidata.org/entity/Q10388714
Valdefuentes,https://wikidata.org/entity/Q1928529
Valdefuentes,https://wikidata.org/entity/Q3844841
VALDEFUENTES,https://wikidata.org/entity/Q10388714
VALDEFUENTES,https://wikidata.org/entity/Q1928529
VALDEFUENTES,https://wikidata.org/entity/Q3844841
Fuentelarreina,https://wikidata.org/entity/Q10286156
Fuentelarreina,https://wikidata.org/entity/Q110747394
Fuentelarreina,https://wikidata.org/entity/Q656196
FUENTELARREINA,https://wikidata.org/entity/Q10286156
FUENTELARREINA,https://wikidata.org/entity/Q110747394
FUENTELARREINA,https://wikidata.org/entity/Q656196
Las Águilas,https://wikidata.org/entity/Q5971372
Las Águilas,https://wikidata.org/entity/Q794954
LAS AGUILAS,https://wikidata.org/entity/Q5971372
LAS AGUILAS,https://wikidata.org/entity/Q794954
Palacio,https://wikidata.org/entity/Q1763376
Palacio,https://wikidata.org/entity/Q2136510
Palacio,https://wikidata.org/entity/Q6080106
PALACIO,https://wikidata.org/entity/Q1763376
PALACIO,https://wikidata.org/entity/Q2136510
PALACIO,https://wikidata.org/entity/Q6080106
Buenavista,https://wikidata.org/entity/Q1001991
Buenavista,https://wikidata.org/entity/Q953929
BUENAVISTA,https://wikidata.org/entity/Q1001991
BUENAVISTA,https://wikidata.org/entity/Q953929
Goya,https://wikidata.org/entity/Q1773521
Goya,https://wikidata.org/entity/Q28070781
Goya,https://wikidata.org/entity/Q3814578
GOYA,https://wikidata.org/entity/Q1773521
GOYA,https://wikidata.org/entity/Q28070781
GOYA,https://wikidata.org/entity/Q3814578
Imperial,https://wikidata.org/entity/Q118847930
Imperial,https://wikidata.org/entity/Q2000929
Imperial,https://wikidata.org/entity/Q3773740
IMPERIAL,https://wikidata.org/entity/Q118847930
IMPERIAL,https://wikidata.org/entity/Q2000929
IMPERIAL,https://wikidata.org/entity/Q3773740
Universidad,https://wikidata.org/entity/Q1763376
Universidad,https://wikidata.org/entity/Q10387767
Universidad,https://wikidata.org/entity/Q6080095
UNIVERSIDAD,https://wikidata.org/entity/Q1763376
UNIVERSIDAD,https://wikidata.org/entity/Q10387767
UNIVERSIDAD,https://wikidata.org/entity/Q6080095
Trafalgar,https://wikidata.org/entity/Q10384027
Trafalgar,https://wikidata.org/entity/Q1763370
Trafalgar,https://wikidata.org/entity/Q27947826
TRAFALGAR,https://wikidata.org/entity/Q10384027
TRAFALGAR,https://wikidata.org/entity/Q1763370
TRAFALGAR,https://wikidata.org/entity/Q27947826
Almagro,https://wikidata.org/entity/Q1763370
Almagro,https://wikidata.org/entity/Q10954432
Almagro,https://wikidata.org/entity/Q26844339
ALMAGRO,https://wikidata.org/entity/Q1763370
ALMAGRO,https://wikidata.org/entity/Q10954432
ALMAGRO,https://wikidata.org/entity/Q26844339
Justicia,https://wikidata.org/entity/Q1763376
Justicia,https://wikidata.org/entity/Q1992319
Justicia,https://wikidata.org/entity/Q6080233
JUSTICIA,https://wikidata.org/entity/Q1763376
JUSTICIA,https://wikidata.org/entity/Q1992319
JUSTICIA,https://wikidata.org/entity/Q6080233
Recoletos,https://wikidata.org/entity/Q1773521
Recoletos,https://wikidata.org/entity/Q28015873
Recoletos,https://wikidata.org/entity/Q3814551
RECOLETOS,https://wikidata.org/entity/Q1773521
RECOLETOS,https://wikidata.org/entity/Q28015873
RECOLETOS,https://wikidata.org/entity/Q3814551
Cortes,https://wikidata.org/entity/Q1763376
Cortes,https://wikidata.org/entity/Q2535637
Cortes,https://wikidata.org/entity/Q740210
CORTES,https://wikidata.org/entity/Q1763376
CORTES,https://wikidata.org/entity/Q2535637
CORTES,https://wikidata.org/entity/Q740210
Recoletos,https://wikidata.org/entity/Q20031523
RECOLETOS,https://wikidata.org/entity/Q20031523
Cortes,https://wikidata.org/entity/Q6080004
CORTES,https://wikidata.org/entity/Q6080004
Sol,https://wikidata.org/entity/Q1763376
Sol,https://wikidata.org/entity/Q2424746
Sol,https://wikidata.org/entity/Q2465181
SOL,https://wikidata.org/entity/Q1763376
SOL,https://wikidata.org/entity/Q2424746
SOL,https://wikidata.org/entity/Q2465181
Trafalgar,https://wikidata.org/entity/Q5740840
TRAFALGAR,https://wikidata.org/entity/Q5740840
Palacio,https://wikidata.org/entity/Q1326261
PALACIO,https://wikidata.org/entity/Q1326261
Jerónimos,https://wikidata.org/entity/Q10306766
Jerónimos,https://wikidata.org/entity/Q2002296
Jerónimos,https://wikidata.org/entity/Q29903983
LOS JERONIMOS,https://wikidata.org/entity/Q10306766
LOS JERONIMOS,https://wikidata.org/entity/Q2002296
LOS JERONIMOS,https://wikidata.org/entity/Q29903983
Sol,https://wikidata.org/entity/Q1123493
SOL,https://wikidata.org/entity/Q1123493
Cortes,https://wikidata.org/entity/Q5482884
CORTES,https://wikidata.org/entity/Q5482884
Castellana,https://wikidata.org/entity/Q1773521
Castellana,https://wikidata.org/entity/Q20031523
Castellana,https://wikidata.org/entity/Q4781
CASTELLANA,https://wikidata.org/entity/Q1773521
CASTELLANA,https://wikidata.org/entity/Q20031523
CASTELLANA,https://wikidata.org/entity/Q4781
Argüelles,https://wikidata.org/entity/Q17421317
Argüelles,https://wikidata.org/entity/Q2017682
Argüelles,https://wikidata.org/entity/Q64874
ARGUELLES,https://wikidata.org/entity/Q17421317
ARGUELLES,https://wikidata.org/entity/Q2017682
ARGUELLES,https://wikidata.org/entity/Q64874
Justicia,https://wikidata.org/entity/Q27051120
JUSTICIA,https://wikidata.org/entity/Q27051120
Sol,https://wikidata.org/entity/Q113986952
SOL,https://wikidata.org/entity/Q113986952
Justicia,https://wikidata.org/entity/Q16620311
JUSTICIA,https://wikidata.org/entity/Q16620311
Cuatro Caminos,https://wikidata.org/entity/Q1773540
Cuatro Caminos,https://wikidata.org/entity/Q26750807
Cuatro Caminos,https://wikidata.org/entity/Q5824684
CUATRO CAMINOS,https://wikidata.org/entity/Q1773540
CUATRO CAMINOS,https://wikidata.org/entity/Q26750807
CUATRO CAMINOS,https://wikidata.org/entity/Q5824684
Recoletos,https://wikidata.org/entity/Q2550870
RECOLETOS,https://wikidata.org/entity/Q2550870
Embajadores,https://wikidata.org/entity/Q1763376
Embajadores,https://wikidata.org/entity/Q2056515
Embajadores,https://wikidata.org/entity/Q2449844
EMBAJADORES,https://wikidata.org/entity/Q1763376
EMBAJADORES,https://wikidata.org/entity/Q2056515
EMBAJADORES,https://wikidata.org/entity/Q2449844
Castillejos,https://wikidata.org/entity/Q1773540
Castillejos,https://wikidata.org/entity/Q11913212
Castillejos,https://wikidata.org/entity/Q26810980
CASTILLEJOS,https://wikidata.org/entity/Q1773540
CASTILLEJOS,https://wikidata.org/entity/Q11913212
CASTILLEJOS,https://wikidata.org/entity/Q26810980
Castillejos,https://wikidata.org/entity/Q26761687
CASTILLEJOS,https://wikidata.org/entity/Q26761687
La Guindalera,https://wikidata.org/entity/Q1773521
La Guindalera,https://wikidata.org/entity/Q3814559
GUINDALERA,https://wikidata.org/entity/Q1773521
GUINDALERA,https://wikidata.org/entity/Q3814559
Simancas,https://wikidata.org/entity/Q2001937
Simancas,https://wikidata.org/entity/Q10371626
SIMANCAS,https://wikidata.org/entity/Q2001937
SIMANCAS,https://wikidata.org/entity/Q10371626
San Pascual,https://wikidata.org/entity/Q165612
San Pascual,https://wikidata.org/entity/Q1763694
SAN PASCUAL,https://wikidata.org/entity/Q165612
SAN PASCUAL,https://wikidata.org/entity/Q1763694
Embajadores,https://wikidata.org/entity/Q26248358
EMBAJADORES,https://wikidata.org/entity/Q26248358
Pacífico,https://wikidata.org/entity/Q2002296
Pacífico,https://wikidata.org/entity/Q3773753
Pacífico,https://wikidata.org/entity/Q5714227
PACIFICO,https://wikidata.org/entity/Q2002296
PACIFICO,https://wikidata.org/entity/Q3773753
PACIFICO,https://wikidata.org/entity/Q5714227
Nueva España,https://wikidata.org/entity/Q10338128
Nueva España,https://wikidata.org/entity/Q1766348
NUEVA ESPAÑA,https://wikidata.org/entity/Q10338128
NUEVA ESPAÑA,https://wikidata.org/entity/Q1766348
Adelfas,https://wikidata.org/entity/Q2002296
Adelfas,https://wikidata.org/entity/Q3774001
ADELFAS,https://wikidata.org/entity/Q2002296
ADELFAS,https://wikidata.org/entity/Q3774001
Palacio,https://wikidata.org/entity/Q2193218
PALACIO,https://wikidata.org/entity/Q2193218
Media Legua,https://wikidata.org/entity/Q110746672
Media Legua,https://wikidata.org/entity/Q2076109
Media Legua,https://wikidata.org/entity/Q9031035
MEDIA LEGUA,https://wikidata.org/entity/Q110746672
MEDIA LEGUA,https://wikidata.org/entity/Q2076109
MEDIA LEGUA,https://wikidata.org/entity/Q9031035
Cuatro Caminos,https://wikidata.org/entity/Q26833571
CUATRO CAMINOS,https://wikidata.org/entity/Q26833571
Cuatro Caminos,https://wikidata.org/entity/Q26761632
CUATRO CAMINOS,https://wikidata.org/entity/Q26761632
Lista,https://wikidata.org/entity/Q1773521
Lista,https://wikidata.org/entity/Q28059485
Lista,https://wikidata.org/entity/Q4779
LISTA,https://wikidata.org/entity/Q1773521
LISTA,https://wikidata.org/entity/Q28059485
LISTA,https://wikidata.org/entity/Q4779
Justicia,https://wikidata.org/entity/Q6080146
JUSTICIA,https://wikidata.org/entity/Q6080146
Cuatro Caminos,https://wikidata.org/entity/Q27212874
CUATRO CAMINOS,https://wikidata.org/entity/Q27212874
Barrio de Puerta del Ángel,https://wikidata.org/entity/Q794954
Barrio de Puerta del Ángel,https://wikidata.org/entity/Q26736141
Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142
PUERTA DEL ANGEL,https://wikidata.org/entity/Q794954
PUERTA DEL ANGEL,https://wikidata.org/entity/Q26736141
PUERTA DEL ANGEL,https://wikidata.org/entity/Q31142
Prosperidad,https://wikidata.org/entity/Q1766348
Prosperidad,https://wikidata.org/entity/Q4776
Prosperidad,https://wikidata.org/entity/Q5686040
PROSPERIDAD,https://wikidata.org/entity/Q1766348
PROSPERIDAD,https://wikidata.org/entity/Q4776
PROSPERIDAD,https://wikidata.org/entity/Q5686040
Castellana,https://wikidata.org/entity/Q16620302
CASTELLANA,https://wikidata.org/entity/Q16620302
Ciudad Jardín,https://wikidata.org/entity/Q1766348
Ciudad Jardín,https://wikidata.org/entity/Q27038851
Ciudad Jardín,https://wikidata.org/entity/Q3773744
CIUDAD JARDIN,https://wikidata.org/entity/Q1766348
CIUDAD JARDIN,https://wikidata.org/entity/Q27038851
CIUDAD JARDIN,https://wikidata.org/entity/Q3773744
Castellana,https://wikidata.org/entity/Q5740879
CASTELLANA,https://wikidata.org/entity/Q5740879
Recoletos,https://wikidata.org/entity/Q5740879
RECOLETOS,https://wikidata.org/entity/Q5740879
Aravaca,https://wikidata.org/entity/Q2017682
Aravaca,https://wikidata.org/entity/Q3314682
ARAVACA,https://wikidata.org/entity/Q2017682
ARAVACA,https://wikidata.org/entity/Q3314682
Niño Jesús,https://wikidata.org/entity/Q2002296
Niño Jesús,https://wikidata.org/entity/Q3773746
NIÑO JESUS,https://wikidata.org/entity/Q2002296
NIÑO JESUS,https://wikidata.org/entity/Q3773746
Ciudad Jardín,https://wikidata.org/entity/Q5741020
CIUDAD JARDIN,https://wikidata.org/entity/Q5741020
