Distrito,Apartado,Número de archivo,Denominación,Situación
CENTRO,INSTALACIONES DE RESTAURACIÓN,12040,QUIOSCO DE BEBIDAS,QUIOSCO DE BEBIDAS CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15021,PUESTO DE LIBROS,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15022,Centro de transformación eléctrica,FRENTE Nº 2 CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15038,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15039,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15040,QUIOSCO DE PRENSA,CENTRO
CENTRO,OTRAS CONCESIONES Y AUTORIZACIONES,15041,INSTALACIONES DE HIGIENE Y ASEO DISTRITO CENTRO,CENTRO
CENTRO,HUERTOS URBANOS,12101,HUERTO COMUNITARIO LA CORNISA,CENTRO
CENTRO,HUERTOS URBANOS,12102,HUERTO COMUNITARIO CASINO DE LA REINA,CENTRO
CENTRO,HUERTOS URBANOS,12103,HUERTO COMUNITARIO BARCELÓ,CENTRO
ARGANZUELA,INSTALACIONES DE RESTAURACIÓN,12091,MADRID RÍO QUIOSCO PUNTO DE VENTA TIPO C3,ARGANZUELA
ARGANZUELA,INSTALACIONES DE RESTAURACIÓN,12092,MADRID RÍO CAFÉ PLAYA,ARGANZUELA
ARGANZUELA,INSTALACIONES DEPORTIVAS,13018,INSTALACIÓN DEPORTIVA DE REMO Y PIRAGÜISMO,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15014,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15015,SUBESTACIÓN DE TRANSFORMACIÓN ELÉCTRICA,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15024,Punto de venta,ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,15025,Punto de venta,Entorno CEDEX. ARGANZUELA
ARGANZUELA,OTRAS CONCESIONES Y AUTORIZACIONES,12087,CENTRO DE SECCIONAMIENTO,ARGANZUELA
ARGANZUELA,HUERTOS URBANOS,12104,HUERTO COMUNITARIO LAS PEÑUELAS,ARGANZUELA
ARGANZUELA,HUERTOS URBANOS,12118,HUERTO COMUNITARIO LA REVOLTOSA,ARGANZUELA
RETIRO,INSTALACIONES DE RESTAURACIÓN,12023,FLORIDA PARK (CASA DEL CONTRABANDISTA),RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12070,BAR MIRADOR EN EL SITUADO Nº 2  PARQUE EL RETIRO,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12071,BAR MIRADOR EN EL SITUADO Nº 5 DEL PARQUE EL RETIRO,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12073,BAR MIRADOR EN EL SITUADO Nº 8 DEL PARQUE EL RETIRO,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12074,BAR MIRADOR EN EL SITUADO Nº 9 DEL PARQUE EL RETIRO FRENTE A LA PUERTA DE ALCALA,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12075,BAR MIRADOR EN EL SITUADO Nº 10 DEL PARQUE EL RETIRO FRENTE A LA GRUTA Y JUNTO AL,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12076,BAR MIRADOR EN EL SITUADO Nº 12  DEL PARQUE EL RETIRO FRENTE AL PALACIO DE EXPOSIC,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12163,BAR-MIRADOR Nº 1,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12164,BAR-MIRADOR Nº 3,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12165,BAR-MIRADOR Nº 4,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12166,BAR-MIRADOR Nº 6,RETIRO
RETIRO,INSTALACIONES DE RESTAURACIÓN,12167,BAR-MIRADOR Nº 7,RETIRO
RETIRO,INSTALACIONES PARA USOS CULTURALES Y RECREATIVOS,14000,PASEOS EN BARCO SOLAR POR  ESTANQUE DEL RETIRO,RETIRO
RETIRO,OTRAS CONCESIONES Y AUTORIZACIONES,15005,TEATRO PERMANENTE DE TITERES,RETIRO
RETIRO,HUERTOS URBANOS,12105,HUERTO COMUNITARIO ADELFAS,RETIRO
SALAMANCA,INSTALACIONES DEPORTIVAS,13011,INSTALACIÓN DEPORTIVA BÁSICA EVA DUARTE,SALAMANCA
SALAMANCA,OTRAS CONCESIONES Y AUTORIZACIONES,15019,CENTRO DE TRANSFORMACIÓN ELÉCTRICA PREFABRICADO Y SUBTERRÁNEO,A LA ALTURA C/FLORESTÁN AGUILAR S/N(SUBSUELO). SALAMANCA
SALAMANCA,OTRAS CONCESIONES Y AUTORIZACIONES,15042,CENTRO DE TRANSFORMACIÓN PREFABRICADO Y SUBTERRÁNEO,SALAMANCA
SALAMANCA,OTRAS CONCESIONES Y AUTORIZACIONES,15043,SUBESTACIÓN TRANSFORMADORA ELÉCTRICA SUBTERRÁNEA DENOMINADA S.T. TOREROS. DISTRITO SALAMANCA,SALAMANCA
SALAMANCA,HUERTOS URBANOS,12106,HUERTO COMUNITARIO SANCHO DÁVILA,SALAMANCA
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12020,QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12022,QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12033,QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12078,QUIOSCO DE BEBIDAS Y COMIDAS SITUADO EN LA CALLE PADRE CLARET,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12079,QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS SITUADO EN LA CALLE FEDERICO SALMÓN,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12083,QUIOSCO PERMANENTE DE COMIDAS Y BEBIDAS,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DE RESTAURACIÓN,12169,QUIOSCO DE TEMPORADA DE BEBIDAS,CHAMARTÍN
CHAMARTÍN,INSTALACIONES DEPORTIVAS,13003,INSTALACIÓN DEPORTIVA BÁSICA,CHAMARTÍN
CHAMARTÍN,HUERTOS URBANOS,12107,HUERTO COMUNITARIO 40 FANEGAS,CHAMARTÍN
CHAMARTÍN,HUERTOS URBANOS,12108,HUERTO COMUNITARIO TÓMATELO CON CALMA,CHAMARTÍN
CHAMARTÍN,HUERTOS URBANOS,12120,HUERTO COMUNITARIO LA GAUDAZNI,CHAMARTÍN
TETUÁN,OTRAS CONCESIONES Y AUTORIZACIONES,15034,Centro de transformación eléctrica,TETUÁN
TETUÁN,HUERTOS URBANOS,12109,HUERTO COMUNITARIO ZULOAGA,TETUÁN
CHAMBERÍ,INSTALACIONES DE RESTAURACIÓN,12044,QUIOSCO DE BEBIDAS,CHAMBERÍ
FUENCARRAL-EL PARDO,INSTALACIONES DE RESTAURACIÓN,12049,Edificio de restauración Mc Donald's,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,INSTALACIONES DE RESTAURACIÓN,12063,"QUIOSCO A, BAR RESTAURANTE",FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,INSTALACIONES DE RESTAURACIÓN,12064,QUIOSCO B CAFETERÍA RESTAURACIÓN RÁPIDA,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,OTRAS CONCESIONES Y AUTORIZACIONES,15006,INMUEBLE,FINCA MUNICIPAL FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,OTRAS CONCESIONES Y AUTORIZACIONES,15017,INMUEBLE,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,OTRAS CONCESIONES Y AUTORIZACIONES,15018,SUBESTACIÓN ELÉCTRICA PROVISIONAL,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,OTRAS CONCESIONES Y AUTORIZACIONES,15035,ESTACIÓN DE GAS NATURAL EN SUBSUELO,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,HUERTOS URBANOS,12110,HUERTO COMUNITARIO MONTECARMELO,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,HUERTOS URBANOS,12111,HUERTO COMUNITARIO MONTECARMELO II,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,HUERTOS URBANOS,12112,HUERTO COMUNITARIO FUENTE DE LA CARRA,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,HUERTOS URBANOS,12113,HUERTO COMUNITARIO HUERKARRAL,FUENCARRAL-EL PARDO
FUENCARRAL-EL PARDO,HUERTOS URBANOS,12114,HUERTO COMUNITARIO TABLAO DE LA COMPOSTURA,FUENCARRAL-EL PARDO
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12000,QUIOSCO DE BEBIDAS Nº 2. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12001,QUIOSCO DE BEBIDAS Nº 4. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12002,QUIOSCO DE BEBIDAS Nº 5. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12003,QUIOSCO DE BEBIDAS Nº 6. PARQUE CASA DE CAMPO,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12026,"QUIOSCO DE BEBIDAS Nº 10 BAR-MERENDERO LA MANZANA (ANTIGUA DENOMINACIÓN ""EL FARO"").",MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12028,"QUIOSCO DE BEBIDAS Nº 17 BAR-MERENDERO (ANTIGUA DENOMINACIÓN ""PUERTA DEL BATÁN"").",JUNTO A LA SALIDA DEL METRO DE BATAN. MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12042,ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12043,ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12060,ESTABLECIEMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12080,ESTABLECIMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
MONCLOA-ARAVACA,INSTALACIONES DE RESTAURACIÓN,12081,ESTABLECIMIENTO DE HOSTELERÍA Y RESTAURACIÓN,MONCLOA-ARAVACA
MONCLOA-ARAVACA,OTRAS CONCESIONES Y AUTORIZACIONES,15000,PARQUE DE ATRACCIONES,MONCLOA-ARAVACA
MONCLOA-ARAVACA,OTRAS CONCESIONES Y AUTORIZACIONES,15001,PARQUE ZOOLOGICO,MONCLOA-ARAVACA
MONCLOA-ARAVACA,OTRAS CONCESIONES Y AUTORIZACIONES,15037,RECINTO FERIAL,MONCLOA-ARAVACA
MONCLOA-ARAVACA,OTRAS CONCESIONES Y AUTORIZACIONES,12082,SUBESTACIÓN TRASNFORMADORA ELÉCTRICA,MONCLOA-ARAVACA
MONCLOA-ARAVACA,HUERTOS URBANOS,12115,HUERTO COMUNITARIO HUERTA SOLAR,MONCLOA-ARAVACA
MONCLOA-ARAVACA,HUERTOS URBANOS,12116,HUERTO COMUNITARIO LA ROSA FUERA DEL TIESTO,MONCLOA-ARAVACA
MONCLOA-ARAVACA,HUERTOS URBANOS,12117,HUERTO COMUNITARIO LA BOMBILLA,MONCLOA-ARAVACA
MONCLOA-ARAVACA,HUERTOS URBANOS,12121,HUERTO COMUNITARIO DEHESA DE LA VILLA,MONCLOA-ARAVACA
LATINA,INSTALACIONES DE RESTAURACIÓN,12057,MADRID RÍO-GRUPO NORTE (CAFÉ-BAR PUENTE SEGOVIA Y CAFETERÍA PRESA Nº 6),CAFÉ-BAR PUENTE DE SEGOVIA AL SUR DEL PUENTE DE SEGOVIA;CAFETERÍA PRESA Nº 6 A LA ALTURA DE LA PRESA Nº 6. LATINA
LATINA,INSTALACIONES DE RESTAURACIÓN,12089,MADRID RÍO CAFÉ SEGOVIA,LATINA
LATINA,INSTALACIONES DE RESTAURACIÓN,12090,MADRID RÍO CAFÉ ANDORRA,LATINA
LATINA,OTRAS CONCESIONES Y AUTORIZACIONES,12077,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,LATINA
LATINA,OTRAS CONCESIONES Y AUTORIZACIONES,12095,CENTRO ELÉCTRICO DE TRANSFORMACIÓN,LATINA
LATINA,OTRAS CONCESIONES Y AUTORIZACIONES,12096,CENTRO DE TRANSFORMACIÓN  ELÉCTRICO,LATINA
LATINA,OTRAS CONCESIONES Y AUTORIZACIONES,12098,CENTRO DE TRANSFORMACIÓN  ELÉCTRICA,LATINA
LATINA,OTRAS CONCESIONES Y AUTORIZACIONES,12099,CENTRO DE TRANSFORMACIÓN  ELÉCTRICA,LATINA
LATINA,OTRAS CONCESIONES Y AUTORIZACIONES,12100,CENTRO DE TRANSFORMACIÓN  ELÉCTRICA,LATINA
LATINA,HUERTOS URBANOS,12123,HUERTO COMUNITARIO BATÁN,LATINA
LATINA,HUERTOS URBANOS,12124,HUERTO COMUNITARIO LUCERO,LATINA
LATINA,HUERTOS URBANOS,12125,HUERTO COMUNITARIO HUERTA SOLIDARIA RSP,LATINA
LATINA,HUERTOS URBANOS,12126,HUERTO COMUNITARIO LAS CRUCES,LATINA
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12016,QUIOSCO DE BEBIDAS Nº 5,CARABANCHEL
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12030,QUIOSCO DE BEBIDAS Nº 4,CARABANCHEL
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12038,BAR-MERENDERO,CARABANCHEL
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12055,MADRID RÍO-GRUPO SUR 1 (CAFETERÍA PASAJE DE MONTSERRAT).,"MARGEN DERECHA DEL RÍO MANZANARES, FRENTE A LA AVENIDA MANZANARES ALNORTE DEL PASAJE DE MONTSERRAT Y NUEVA PASARELA SINGULAR PEATONAL. CARABANCHEL"
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12061,QUIOSCO DE BEBIDAS,CARABANCHEL
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12088,MADRID RÍO CAFÉ TOLEDO,CARABANCHEL
CARABANCHEL,INSTALACIONES DE RESTAURACIÓN,12093,MADRID RÍO CAFÉ MONTSERRAT,CARABANCHEL
CARABANCHEL,INSTALACIONES DEPORTIVAS,13020,INSTALACIÓN DEPORTIVA MUNICIPAL DE PÁDEL,CARABANCHEL
CARABANCHEL,HUERTOS URBANOS,12127,HUERTO COMUNITARIO EL TOBOSO,CARABANCHEL
CARABANCHEL,HUERTOS URBANOS,12128,HUERTO COMUNITARIO EL PINAR DE CARABANCHEL,CARABANCHEL
CARABANCHEL,HUERTOS URBANOS,12129,HUERTO COMUNITARIO PARQUE DE COMILLAS,CARABANCHEL
CARABANCHEL,HUERTOS URBANOS,12130,HUERTO COMUNITARIO PARQUE EUGENIA DE MONTIJO,CARABANCHEL
CARABANCHEL,HUERTOS URBANOS,12131,HUERTO COMUNITARIO OPAÑEL-JARDÍN DE LIBROS NÓMADAS,CARABANCHEL
USERA,INSTALACIONES DE RESTAURACIÓN,12056,MADRID RÍO-GRUPO SUR 1. CAFÉ-BAR SAN ZACARÍAS,A LA ALTURA DE C/ SAN ZACARÍAS. USERA
USERA,INSTALACIONES DE RESTAURACIÓN,12084,QUIOSCO PERMANENTE DE HOSTELERÍA Y RESTAURACIÓN,USERA
USERA,INSTALACIONES DE RESTAURACIÓN,12094,MADRID RÍO CAFÉ PRINCESA-SAN ZACARÍAS,USERA
USERA,INSTALACIONES DEPORTIVAS,13013,INSTALACIÓN DEPORTIVA BÁSICA DAVID GONZÁLEZ RUBIO,USERA
USERA,INSTALACIONES DEPORTIVAS,13014,INSTALACIÓN DEPORTIVA BÁSICA MARIS STELA,USERA
USERA,INSTALACIONES DEPORTIVAS,13019,IDB ZOFÍO,USERA
USERA,INSTALACIONES DEPORTIVAS,12086,LÁMINA DE AGUA Y ZONA DEL EMBARCADERO DEL ESTANQUE DE PRADOLONGO Y ZONA DE ALMACÉN Y VESTUARIOS CEAC,USERA
USERA,HUERTOS URBANOS,12132,HUERTO COMUNITARIO SAN FERMÍN,USERA
USERA,HUERTOS URBANOS,12133,HUERTO COMUNITARIO PACHAMAMA,USERA
USERA,HUERTOS URBANOS,12134,HUERTO COMUNITARIO HALCÓN PRADOLONGO,USERA
PUENTE DE VALLECAS,INSTALACIONES DE RESTAURACIÓN,12065,"QUIOSCO DE BEBIDAS PERMANENTE ""EL MIRADOR""",PUENTE DE VALLECAS
PUENTE DE VALLECAS,INSTALACIONES DE RESTAURACIÓN,12066,"QUIOSCO DE BEBIDAS PERMANENTE ""LOS ARBOLITOS""",PUENTE DE VALLECAS
PUENTE DE VALLECAS,INSTALACIONES DEPORTIVAS,13012,INSTALACIÓN DEPORTIVA BÁSICA CERRO CABEZUELO,PUENTE DE VALLECAS
PUENTE DE VALLECAS,INSTALACIONES DEPORTIVAS,12085,AUTORIZACIÓN DE USO INSTALACIÓN DEPORTIVA BÁSICA PARQUE LINEAL DEL MANZANARES,PUENTE DE VALLECAS
PUENTE DE VALLECAS,INSTALACIONES DEPORTIVAS,12168,IDB PALOMERAS BAJAS,PUENTE DE VALLECAS
PUENTE DE VALLECAS,OTRAS CONCESIONES Y AUTORIZACIONES,15036,CENTRO DE REFLEXIÓN 153R,GARRIGUES WALKER. PUENTE DE VALLECAS
PUENTE DE VALLECAS,HUERTOS URBANOS,12135,HUERTO COMUNITARIO SANTA CATALINA,PUENTE DE VALLECAS
MORATALAZ,INSTALACIONES DE RESTAURACIÓN,12068,QUIOSCO DE BEBIDAS EN EL PARQUE FUENTE CARRANTONA,MORATALAZ
MORATALAZ,OTRAS CONCESIONES Y AUTORIZACIONES,15004,MODULO A DEL PARQUE DARWIN,MORATALAZ
MORATALAZ,OTRAS CONCESIONES Y AUTORIZACIONES,15008,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
MORATALAZ,OTRAS CONCESIONES Y AUTORIZACIONES,15009,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
MORATALAZ,OTRAS CONCESIONES Y AUTORIZACIONES,15010,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
MORATALAZ,OTRAS CONCESIONES Y AUTORIZACIONES,15016,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
MORATALAZ,HUERTOS URBANOS,12136,HUERTO COMUNITARIO SIGLO XXI,MORATALAZ
MORATALAZ,HUERTOS URBANOS,12137,HUERTO COMUNITARIO CUÑA VERDE DE MORATALAZ II,MORATALAZ
MORATALAZ,HUERTOS URBANOS,12138,HUERTO COMUNITARIO PAVONES,MORATALAZ
CIUDAD LINEAL,HUERTOS URBANOS,12139,HUERTO COMUNITARIO MAGERIT,CIUDAD LINEAL
CIUDAD LINEAL,HUERTOS URBANOS,12140,HUERTO COMUNITARIO LA ELIPA,CIUDAD LINEAL
HORTALEZA,INSTALACIONES DE RESTAURACIÓN,12036,QUIOSCO DE BEBIDAS,HORTALEZA
HORTALEZA,INSTALACIONES DE RESTAURACIÓN,,QUIOSCO DE BEBIDAS SITUADO EN EL PARQUE PINAR DEL REY,HORTALEZA
HORTALEZA,INSTALACIONES DEPORTIVAS,13008,INSTALACIÓN DEPORTIVA DE RUGBY,HORTALEZA
HORTALEZA,INSTALACIONES DEPORTIVAS,13009,INSTALACIÓN DEPORTIVA DE PÁDEL,HORTALEZA
HORTALEZA,HUERTOS URBANOS,12141,HUERTO COMUNITARIO MANOTERAS,HORTALEZA
HORTALEZA,HUERTOS URBANOS,12142,HUERTO COMUNITARIO LAS CÁRCAVAS,HORTALEZA
HORTALEZA,HUERTOS URBANOS,12143,HUERTO COMUNITARIO KUPINA MORERA,HORTALEZA
HORTALEZA,HUERTOS URBANOS,12144,HUERTO COMUNITARIO VILLA ROSA,HORTALEZA
HORTALEZA,HUERTOS URBANOS,12145,HUERTO COMUNITARIO HUERTO DEL MAR,HORTALEZA
VILLAVERDE,OTRAS CONCESIONES Y AUTORIZACIONES,15045,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,VILLAVERDE
VILLAVERDE,OTRAS CONCESIONES Y AUTORIZACIONES,15046,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,VILLAVERDE
VILLAVERDE,HUERTOS URBANOS,12146,HUERTO COMUNITARIO LADIS,VILLAVERDE
VILLAVERDE,HUERTOS URBANOS,12147,HUERTO COMUNITARIO BUTARQUE,VILLAVERDE
VILLAVERDE,HUERTOS URBANOS,12148,HUERTO COMUNITARIO EL CRUCE,VILLAVERDE
VILLAVERDE,HUERTOS URBANOS,12149,HUERTO COMUNITARIO LOS PINOS,VILLAVERDE
VILLAVERDE,HUERTOS URBANOS,12150,HUERTO COMUNITARIO EL BUEN SAMARITANO,VILLAVERDE
VILLA DE VALLECAS,INSTALACIONES DE RESTAURACIÓN,12062,BAR DE VERANO,VILLA DE VALLECAS
VILLA DE VALLECAS,INSTALACIONES DE RESTAURACIÓN,12067,QUIOSCO DE HOSTELERÍA Y RESTAURACION. PARQUE CONGOSTO,VILLA DE VALLECAS
VILLA DE VALLECAS,INSTALACIONES DEPORTIVAS,15003,IDB CIRCUITO DE AUTOMODELISMO,VILLA DE VALLECAS
VILLA DE VALLECAS,OTRAS CONCESIONES Y AUTORIZACIONES,15044,CENTRO DE TRANSFORMACIÓN 4509,VILLA DE VALLECAS
VILLA DE VALLECAS,HUERTOS URBANOS,12151,HUERTO COMUNITARIO HUERTA EUGENIA,VILLA DE VALLECAS
VILLA DE VALLECAS,HUERTOS URBANOS,12152,HUERTO COMUNITARIO DE LA VILLA,VILLA DE VALLECAS
VILLA DE VALLECAS,HUERTOS URBANOS,12153,HUERTO COMUNITARIO QUIJOTES CON AZADAS,VILLA DE VALLECAS
VILLA DE VALLECAS,HUERTOS URBANOS,12154,HUERTO COMUNITARIO JOSÉ COUSO,VILLA DE VALLECAS
VICÁLVARO,INSTALACIONES DEPORTIVAS,13017,GESTIÓN Y DINAMIZACIÓN IDBs CORDEL DE PAVONES Y LA VICALVARADA,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15020,CENTRO DE TRANSFORMACIÓN,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15026,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4352,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15027,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4351,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15028,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4350,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15029,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4349,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15030,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4244,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15031,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4307,VICÁLVARO
VICÁLVARO,OTRAS CONCESIONES Y AUTORIZACIONES,15032,CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 146R,VICÁLVARO
VICÁLVARO,HUERTOS URBANOS,12155,HUERTO COMUNITARIO VICÁLVARO I,VICÁLVARO
VICÁLVARO,HUERTOS URBANOS,12156,HUERTO COMUNITARIO VICÁLVARO II,VICÁLVARO
VICÁLVARO,HUERTOS URBANOS,12157,HUERTO COMUNITARIO LA VICALVARADA,VICÁLVARO
SAN BLAS-CANILLEJAS,OTRAS CONCESIONES Y AUTORIZACIONES,15011,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,OTRAS CONCESIONES Y AUTORIZACIONES,15012,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,OTRAS CONCESIONES Y AUTORIZACIONES,15013,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,OTRAS CONCESIONES Y AUTORIZACIONES,15033,ESTACIÓN BASE DE TELEFONÍA MÓVIL,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,HUERTOS URBANOS,12158,HUERTO COMUNITARIO QUINTA DE LOS MOLINOS,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,HUERTOS URBANOS,12159,HUERTO COMUNITARIO EL PARAÍSO,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,HUERTOS URBANOS,12160,HUERTO COMUNITARIO RAÍZ CUADRADA,SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS,HUERTOS URBANOS,12161,HUERTO COMUNITARIO EL HUERTUCO,SAN BLAS-CANILLEJAS
BARAJAS,HUERTOS URBANOS,12162,HUERTO COMUNITARIO LA ALAMEDA DE OSUNA,BARAJAS
